id.rownames	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ensembl_gene_id	mgi_symbol	gene_biotype
ENSRNOG00000023816	2007.864523	-0.186848851	0.04560019	-4.097545439	4.18E-05	0.004510955	ENSRNOG00000023816		protein_coding
ENSRNOG00000004226	664.574419	-0.984346813	0.240458466	-4.093625102	4.25E-05	0.004550644	ENSRNOG00000004226		protein_coding
ENSRNOG00000029209	770.1919189	-0.287420843	0.070400873	-4.08263183	4.45E-05	0.004732953	ENSRNOG00000029209		protein_coding
ENSRNOG00000015987	1456.696376	-0.295030794	0.072389957	-4.075576303	4.59E-05	0.004839752	ENSRNOG00000015987		protein_coding
ENSRNOG00000009822	880.3028403	-1.048291136	0.259046037	-4.046736821	5.19E-05	0.005432731	ENSRNOG00000009822		protein_coding
ENSRNOG00000009088	3866.484514	-0.202500301	0.050456932	-4.013329693	5.99E-05	0.006212675	ENSRNOG00000009088		protein_coding
ENSRNOG00000037838	149.2452248	-0.665046711	0.165785266	-4.011494679	6.03E-05	0.006212675	ENSRNOG00000037838		protein_coding
ENSRNOG00000017753	459.0058706	-0.347866069	0.086816944	-4.006891414	6.15E-05	0.006225531	ENSRNOG00000017753		protein_coding
ENSRNOG00000015948	1606.809981	-0.443547322	0.11073362	-4.005534368	6.19E-05	0.006225531	ENSRNOG00000015948		protein_coding
ENSRNOG00000055391	651.6305821	-0.352248188	0.088398024	-3.984797082	6.75E-05	0.006692845	ENSRNOG00000055391		protein_coding
ENSRNOG00000005981	530.9083991	-0.488953236	0.123126238	-3.971153881	7.15E-05	0.006996052	ENSRNOG00000005981		protein_coding
ENSRNOG00000046327	2229.966026	-0.230309268	0.058164286	-3.959633702	7.51E-05	0.007274663	ENSRNOG00000046327		protein_coding
ENSRNOG00000060356	694.9402918	-0.301571845	0.076297487	-3.952579026	7.73E-05	0.007437886	ENSRNOG00000060356		protein_coding
ENSRNOG00000042460	229.7558204	-1.026508271	0.263766128	-3.891736517	9.95E-05	0.009303519	ENSRNOG00000042460		protein_coding
ENSRNOG00000013594	703.3593825	-0.305908894	0.078729219	-3.88558273	0.000102085	0.009475187	ENSRNOG00000013594		protein_coding
ENSRNOG00000018176	4644.591169	-0.162241567	0.041793505	-3.88198037	0.000103609	0.009549439	ENSRNOG00000018176		protein_coding
ENSRNOG00000013541	164.8349199	-0.525872835	0.136111493	-3.86354468	0.000111753	0.010228544	ENSRNOG00000013541		protein_coding
ENSRNOG00000002657	578.7999216	-0.327452896	0.084826685	-3.860258085	0.000113267	0.01029561	ENSRNOG00000002657		protein_coding
ENSRNOG00000013763	1048.528182	-0.296507316	0.076994348	-3.851027059	0.000117624	0.010618341	ENSRNOG00000013763		protein_coding
ENSRNOG00000036666	587.280418	-0.532796002	0.138866303	-3.836755144	0.000124671	0.011102428	ENSRNOG00000036666		protein_coding
ENSRNOG00000013215	579.4400734	-0.378519462	0.098707009	-3.834777946	0.000125678	0.011117001	ENSRNOG00000013215		protein_coding
ENSRNOG00000007805	1251.443937	-0.396657413	0.10359457	-3.828940186	0.000128696	0.011233225	ENSRNOG00000007805		protein_coding
ENSRNOG00000020554	272.4297624	-0.408877416	0.107310297	-3.810234672	0.000138835	0.011751095	ENSRNOG00000020554		protein_coding
ENSRNOG00000014333	426.4804098	-0.918220074	0.241413855	-3.803510253	0.00014266	0.011976178	ENSRNOG00000014333		protein_coding
