Ensembl_GeneID	Entrez_GeneID	HGNC_GeneSymbol	Inhi_GeneExpression_log2FPKM	Prec_GeneExpression_log2FPKM	ScrInhi_GeneExpression_log2FPKM	ScrPrec_GeneExpression_log2FPKM
ENSRNOG00000022932	500911	Serhl2	1.61846290669527	1.86480781303408	1.73473590441862	1.76291737317081
ENSRNOG00000046983	361453	Adat2	1.80421887237576	1.83698883461426	1.79605215053978	1.76298763781685
ENSRNOG00000046981	116727	Gp1bb	1.09222968378956	1.31780701569255	0.303359572113001	1.01527224735114
ENSRNOG00000046984	407765	St6galnac6	3.79176984125038	3.92449921276707	3.80461762377149	3.91871316229661
ENSRNOG00000042296	690504	Kpna7	0	0	0	0
ENSRNOG00000023688	24316	Drd1	0.18112758092093	0.226222668091828	0.204911968602303	0.13139449009239
ENSRNOG00000010636	298377	Coa7	2.75671903851728	2.70389003098158	2.70957435478445	2.74188556181225
ENSRNOG00000046677	299265	RGD1309028	0	0	0	0
ENSRNOG00000046676	405998	Olr1531	0	0.0235221928218179	0	0
ENSRNOG00000046670	100911689	Klk1c10	0	0	0	0
ENSRNOG00000042749	498699	RGD1562024	0	0	0	0
ENSRNOG00000042747	681249	Fam72a	2.51799718119949	2.49517626490321	2.74909844308847	2.58780251695965
ENSRNOG00000042741	292477	Adgb	0.231895442860306	0.0337018121749307	0.107849596804937	0.147769411141613
ENSRNOG00000023683	25495	Nog	0.687984591168662	0.60437766604768	0.619421905787856	0.902977757203876
ENSRNOG00000014867	499702	Synpo2	5.85260232973376	5.9259965094099	5.77102745627931	5.82194668756741
ENSRNOG00000014866	309051	Pign	2.84497522044253	2.64584196605735	2.75493751799694	2.76770663247557
ENSRNOG00000014865	100912483	LOC100912483	0.572147483038892	0.579234109268366	0.674796422517236	0.824878865533426
ENSRNOG00000014862	79211	Gabrg3	0	0	0	0
ENSRNOG00000014861	500474	Rnf183	0.0391420150456508	0	0.0417770496191378	0
ENSRNOG00000056110	404884	Olr500	0	0	0	0
ENSRNOG00000014869	298096	Wdr31	1.5505751202191	1.53287186417604	1.49363478230449	1.59838330414966
ENSRNOG00000021776	305270	Cenpc	3.33593651808501	3.35999576990236	3.41330402008843	3.39720693600901
ENSRNOG00000021773	300050	Bop1	4.67573466315993	4.71609494139964	4.56045025040084	4.55745426225495
ENSRNOG00000021771	300656	Trim29	0.0459351198661895	0.0293789416440379	0.0382169911455493	0.0596952245356674
ENSRNOG00000018898	300741	Mpi	4.99213417001898	5.06772823982151	5.07090192577923	5.01053217187208
ENSRNOG00000011323	306013	Lgi3	0.110897429063617	0.111758488392942	0.0827742174392028	0.106814701475966
ENSRNOG00000057643	503650	Klri2	0	0	0	0
ENSRNOG00000004740	362134	Mmadhc	5.23401219627652	5.33402621171376	5.33339680567436	5.33653598224592
ENSRNOG00000004747	299903	Slc30a8	0	0	0	0
ENSRNOG00000057644	103694488	LOC103694488	0	0	0	0
ENSRNOG00000004744	315019		0.870108928183557	0.787506929219431	0.810480333384626	0.970954620776524
ENSRNOG00000057649	116722	Psmd10	2.77464334210396	2.53772625803794	2.65529277196553	3.00718361340357
ENSRNOG00000009245	366017	Exosc2	3.65019098859275	3.55484964525089	3.60513921260663	3.67220904269589
ENSRNOG00000009244	364380	Abhd4	5.02721754281625	5.18421399902169	5.04861493906519	5.08723511023212
ENSRNOG00000009241	299656	RGD1560291	0	0	0	0
ENSRNOG00000009243	315594	Oaf	6.13008585179602	5.81216195942636	6.00599053278021	5.97722006591033
ENSRNOG00000009248	100125373	Pnrc2	5.90011736925761	5.96944414194776	5.99037593887944	6.00959019325132
ENSRNOG00000020792	360635	Etv4	3.80264931965673	3.8211108813039	3.83052471858051	3.81459182948022
ENSRNOG00000020793	292907	Ruvbl2	5.02075998358102	5.01431903706299	4.94122433291047	4.93898922466057
ENSRNOG00000020791	295252	Ube2q1	5.28501220663769	5.3252029734364	5.23940369683814	5.26583624760351
ENSRNOG00000020797	685088	She	0.0544221549648985	0.130397003250743	0.0268668877832239	0.109944583240751
ENSRNOG00000020424	309014	Plpp4	1.34958145819975	1.3142837429453	1.26275487163634	1.17968859801765
ENSRNOG00000020425	361618	Stim1	2.26035552566508	2.04180516248553	2.23365170465841	2.17176162397226
ENSRNOG00000020426	292721	Erf	4.16844909594389	4.38931952679041	4.17181112729321	4.20772849742817
ENSRNOG00000020427	688966	Borcs8	4.85614162898923	5.10928985987947	4.95650186980447	5.09623648971927
ENSRNOG00000020420	24651	Pklr	0	0	0	0
ENSRNOG00000020423	24205	Apc	3.26820872485745	3.2193464429134	3.13978925595686	3.19580989879291
ENSRNOG00000051569	103690147	LOC103690147	0	0	0	0
ENSRNOG00000061499	100362634	Kmt2d	3.05472055390604	3.03050779442381	2.97601765897558	2.9575698950087
ENSRNOG00000032471	364227	Asb3	2.68950747468835	2.7029796583032	2.89357843821448	2.82615210687963
ENSRNOG00000058376	104795676	Snora19	0	0	0	0
ENSRNOG00000058375	100911217	Adig	0.175944201624929	0.0915532666656165	0.413873341883553	0.0481223513069741
ENSRNOG00000058372	102552783	Ac1576	0	0	0.0418851242161157	0.0308770399415199
ENSRNOG00000023216	500528	Ccdc17	1.63915163374324	1.73540599705447	1.55298334062915	1.62527587019863
ENSRNOG00000023214	501043	Il20rb	0.530178379306023	0.224138264449208	0.445403169841393	0.416556062411787
ENSRNOG00000023213	313484	Dmrtb1	0	0	0	0
ENSRNOG00000023210	309678	Trappc10	3.56614802005246	3.54982327987979	3.47357807593797	3.48340494577925
ENSRNOG00000010412	100910460	Ccdc180	0	0	0	0
